Dataset x;Dataset y;Dataset2 x;Dataset2 y
3,477495660967E1;1,774980063357E1;1,671585710831E1;1,850662227705E1
3,503733715063E1;1,775165622438E1;1,688480703780E1;1,843597619713E1
3,560608810541E1;1,736507480501E1;1,705399586708E1;1,800612722292E1
3,648086309706E1;1,711085886363E1;1,707845920529E1;1,750341381362E1
3,696232706000E1;1,646325766991E1;1,732003467008E1;1,707407676753E1
3,779319877302E1;1,646913370748E1;1,756151457495E1;1,678842087915E1
3,871144407212E1;1,660582889737E1;1,785115667693E1;1,664678743389E1
3,954240237938E1;1,648150431290E1;1,811686102022E1;1,621762103050E1
3,980547567424E1;1,544175492737E1;1,823783987245E1;1,571559019202E1
4,085499783805E1;1,544917729062E1;1,872041744254E1;1,571900304612E1
4,199198018219E1;1,545721818414E1;1,973383033974E1;1,572617003974E1
4,234242706312E1;1,454828795092E1;1,975862813765E1;1,472057257844E1
4,365432976789E1;1,455756590499E1;2,026533458625E1;1,472415607524E1
4,570947081689E1;1,483250261044E1;2,069965439934E1;1,472722764394E1
4,824572945187E1;1,498064061035E1;2,166471397961E1;1,487773450986E1
5,388708427085E1;1,476013456874E1;2,171344953620E1;1,415967000669E1
5,441193194700E1;1,463364512832E1;2,219602710629E1;1,416308286079E1
"";;2,291998902135E1;1,402452098423E1
"";;2,376454754897E1;1,395865290005E1
"";;2,429538287608E1;1,396240703956E1
"";;2,475383156767E1;1,396564925096E1
"";;2,475454826703E1;1,288804056809E1
"";;2,509235256609E1;1,289042956596E1
"";;2,509283036567E1;1,217202377739E1
"";;2,543049132486E1;1,238993451183E1
"";;2,545528912277E1;1,138433705053E1
"";;2,560011017376E1;1,131352032790E1
"";;2,615507437937E1;1,131744511012E1
"";;2,625240215266E1;1,009683784036E1
"";;2,625278439232E1;9,522113209493E0
"";;2,666297532690E1;9,525014135480E0
"";;2,671171088349E1;8,806949632312E0
"";;2,688066081298E1;8,736303552390E0
"";;2,717020735503E1;8,738351264851E0
"";;2,762875160654E1;8,597912318533E0
"";;2,811132917663E1;8,601325172636E0
"";;2,864221228369E1;8,533238733291E0
"";;2,866710564152E1;7,383960114270E0
"";;2,924615094567E1;7,459896118051E0
"";;2,982524402979E1;7,463991542974E0
"";;3,076617473156E1;7,614327766190E0
"";;3,190027980124E1;7,550507394473E0
"";;3,438555428723E1;7,568083593101E0
"";;3,764300066533E1;7,519279779435E0
"";;4,208266653024E1;7,622518616036E0
"";;4,208438660871E1;5,036257777154E0
"";;4,247049644474E1;4,967147481578E0
"";;4,319436279988E1;4,972266762732E0
"";;4,384579473956E1;5,048714694628E0
"";;4,471433880581E1;5,198538989728E0
